Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       168.843597                1.942890               0.960015                0.501241                0.498017
1                       214.708595                -0.975332               -1.381036                0.499651                0.499605
2                       273.430292                0.126656               0.547826                0.499197                0.499936
