Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.361753                1.076963               0.062341                0.499013                0.501158
1                       220.906947                -0.254119               0.733006                0.499074                0.502142
2                       217.722715                0.271371               -0.668542                0.503289                0.501557
