Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.475096                0.468025               -0.169213                0.501144                0.499070
1                       219.672757                0.160191               0.780232                0.501162                0.503962
2                       218.849302                0.465999               -0.484214                0.500709                0.500961
