Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.176469                -0.317598               -1.524202                0.498954                0.498601
1                       218.877457                0.787004               1.933211                0.500310                0.501090
2                       218.925333                0.624809               -0.282204                0.499630                0.499380
