Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.032503                0.208613               0.151203                0.500917                0.499499
1                       219.811235                1.260490               -0.340233                0.499772                0.499102
2                       219.153414                -0.374889               0.315834                0.499142                0.499727
