Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       200.231967                1.385194               1.527320                0.500381                0.501537
1                       217.658638                -0.719455               -0.376359                0.500594                0.500842
2                       239.092110                0.428476               -1.024156                0.502915                0.499713
