Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       97.744334                0.476330               0.605335                0.500447                0.498459
1                       194.689491                -0.729171               -0.907548                0.499056                0.499088
2                       364.559413                1.347056               0.429018                0.499032                0.499409
