Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.098025                1.226304               -0.069576                0.501030                0.498889
1                       219.970228                0.455070               0.376395                0.500695                0.501957
2                       217.919261                -0.587159               -0.180015                0.497975                0.500363
