Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       147.318001                1.238370               1.153729                0.499294                0.499561
1                       210.625177                -0.459077               -1.067390                0.498933                0.499293
2                       299.047493                0.314922               0.040466                0.501034                0.502319
