Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       53.714464                0.133981               0.404544                0.503209                0.498967
1                       178.379390                0.749777               -1.392671                0.501176                0.500112
2                       424.898239                0.210457               1.114932                0.500346                0.502937
