Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       214.291323                1.249161               -0.219287                0.501033                0.500595
1                       219.095325                0.059268               1.582112                0.499002                0.499960
2                       223.601567                -0.214214               -1.236021                0.498923                0.498873
