Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.715702                0.536758               -0.481122                0.501014                0.501093
1                       218.875763                0.563800               0.659951                0.501218                0.498686
2                       219.404219                -0.006344               -0.052024                0.499380                0.501848
