Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.897322                0.207274               -1.230272                0.500908                0.500954
1                       218.058355                1.156102               1.844582                0.498548                0.500257
2                       219.030889                -0.269162               -0.487506                0.500118                0.499196
