Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       217.718731                0.966219               -0.154183                0.500080                0.498703
1                       219.608665                -0.027740               -0.485294                0.500893                0.499526
2                       219.667836                0.155735               0.766281                0.497432                0.501242
