Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       217.588003                0.313381               -0.310672                0.499711                0.501200
1                       220.308119                0.558202               0.569794                0.500563                0.501871
2                       219.096293                0.222632               -0.132317                0.502735                0.504692
