Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.945217                1.600977               -0.617958                0.500754                0.501191
1                       220.094101                0.311885               0.001821                0.500001                0.497970
2                       217.951888                -0.818647               0.742942                0.497501                0.498818
