Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.778777                0.632403               -2.216949                0.501898                0.498337
1                       217.979442                0.909719               2.204741                0.497884                0.500224
2                       219.219326                -0.447908               0.139013                0.500058                0.498569
