Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.621486                0.220947               -0.550154                0.498876                0.501046
1                       219.519515                0.314361               -0.139210                0.499384                0.499478
2                       218.851233                0.558906               0.816169                0.498391                0.500822
