Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       217.726754                2.100682               -0.560803                0.500667                0.498255
1                       219.468138                0.169945               0.979655                0.500254                0.501202
2                       219.794180                -1.176412               -0.292048                0.498750                0.498322
