Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       220.258786                1.047921               -1.065786                0.499315                0.501146
1                       218.129855                0.631525               1.763161                0.499411                0.498797
2                       218.601905                -0.585231               -0.570570                0.498503                0.500844
