Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       217.778963                1.349698               0.087132                0.499266                0.500243
1                       219.553575                0.941342               0.854855                0.500008                0.498904
2                       219.655199                -1.196825               -0.815182                0.499932                0.497734
