Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       206.621283                0.816034               0.872397                0.498647                0.501090
1                       219.208280                0.139719               0.454643                0.499867                0.499519
2                       231.164057                0.138461               -1.200236                0.499980                0.498363
