Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.771459                1.729440               -0.524137                0.500909                0.501204
1                       219.876655                0.233353               -0.339350                0.499608                0.500007
2                       218.342263                -0.868578               0.990292                0.500009                0.499035
