Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.418158                -0.525416               1.211543                0.501196                0.498525
1                       218.890038                0.890581               -0.007441                0.499693                0.499363
2                       218.683881                0.729049               -1.077298                0.499925                0.498996
