Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.465226                1.523539               -1.085788                0.500447                0.499028
1                       219.245684                -0.000362               1.226953                0.496924                0.499081
2                       218.277401                -0.428962               -0.014361                0.500816                0.500102
