Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       121.471277                0.738178               0.578996                0.500716                0.500254
1                       203.254653                -0.570168               -0.949086                0.499889                0.501811
2                       332.267254                0.926205               0.496894                0.501010                0.499488
