Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.448669                0.551280               -0.677227                0.500311                0.501557
1                       219.774233                0.253301               0.050666                0.499312                0.501737
2                       218.769864                0.289634               0.753366                0.498749                0.500689
