Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.469604                1.006481               -0.396872                0.501968                0.500549
1                       220.742049                -0.046572               0.996890                0.498851                0.503098
2                       217.778487                0.134306               -0.473214                0.499380                0.500674
