Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       217.856352                1.750480               0.111217                0.501346                0.503000
1                       219.369026                0.711890               0.969853                0.498416                0.501448
2                       219.762186                -1.368155               -0.954265                0.500924                0.502756
