Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       135.296162                1.282774               0.698698                0.500629                0.501091
1                       207.907971                -0.078383               -1.197848                0.501318                0.499867
2                       313.786471                -0.110176               0.625955                0.502553                0.498680
