Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.951293                -0.170367               -0.179818                0.501627                0.501259
1                       218.987142                -0.322649               -0.705071                0.498392                0.500857
2                       219.049657                1.587231               1.011694                0.498804                0.497359
