Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.224087                1.444299               0.054685                0.497585                0.500305
1                       219.948238                0.426681               0.261192                0.496972                0.501560
2                       217.817864                -0.776766               -0.189072                0.498698                0.499382
