Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.647509                1.894224               -0.555305                0.501420                0.499812
1                       219.819547                0.169033               -0.026025                0.498514                0.501359
2                       218.523426                -0.969043               0.708135                0.500086                0.501316
