Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.499851                0.302955               -0.414909                0.499378                0.499841
1                       219.049778                0.569419               0.610814                0.501405                0.499322
2                       219.445064                0.221840               -0.069101                0.498900                0.500331
