Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       220.289764                1.096563               0.116653                0.499581                0.499543
1                       219.619851                -0.057238               0.596478                0.498769                0.500203
2                       217.084306                0.054889               -0.586326                0.501221                0.500817
