Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       217.766108                1.432678               0.113418                0.500955                0.497600
1                       219.718946                -0.671343               -0.453607                0.499561                0.498957
2                       219.507285                0.332879               0.466994                0.499510                0.499902
