Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       186.700433                2.095407               1.663927                0.499837                0.499870
1                       217.932627                0.203905               -1.749995                0.501176                0.499280
2                       252.348347                -1.205097               0.212873                0.500772                0.501243
