Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       220.003479                -0.020850               1.437712                0.498794                0.502341
1                       219.081181                1.097484               -0.205303                0.501542                0.497912
2                       217.905337                0.017580               -1.105605                0.500538                0.501086
