Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.994201                0.072459               0.116248                0.501685                0.500158
1                       219.519317                0.403040               0.729162                0.500616                0.501943
2                       218.477505                0.618715               -0.718605                0.501304                0.499310
