Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       190.766693                2.138364               1.764989                0.499852                0.500116
1                       218.062196                0.567909               -2.202699                0.501677                0.498215
2                       248.142753                -1.612059               0.564515                0.500551                0.498818
