Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.911776                1.892308               -0.642355                0.501165                0.498590
1                       220.663364                -0.399392               0.997196                0.499396                0.498402
2                       217.412236                -0.398702               -0.228036                0.500944                0.498780
