Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.580286                2.009862               -0.254635                0.501433                0.500105
1                       220.515800                -0.580960               0.493043                0.503425                0.501093
2                       216.889530                -0.334688               -0.111603                0.499532                0.501885
