Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       148.682944                1.244599               1.418997                0.499295                0.498776
1                       210.824711                -0.532782               -1.056308                0.500488                0.500440
2                       297.482204                0.382397               -0.235884                0.499142                0.502336
