Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       191.654198                2.241033               1.336372                0.501188                0.499878
1                       218.083135                0.269527               -1.905931                0.502213                0.496961
2                       247.235908                -1.416346               0.696364                0.502384                0.499418
