Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.571100                -0.464352               -0.402771                0.499477                0.499531
1                       219.166487                -0.078406               -1.231759                0.499540                0.500831
2                       219.247368                1.636973               1.761335                0.499331                0.501718
