Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       212.722810                1.437228               -0.415750                0.502337                0.501008
1                       220.102781                0.376902               1.780661                0.500413                0.498805
2                       224.161752                -0.719915               -1.238107                0.502538                0.498965
