Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       218.463275                0.914037               0.007261                0.502214                0.499746
1                       219.371685                -0.662178               -1.311780                0.498849                0.497875
2                       219.156272                0.842355               1.431324                0.500580                0.501404
