Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       219.632217                0.491938               -1.490928                0.503745                0.498033
1                       218.162390                0.934820               2.153697                0.498351                0.498155
2                       219.192136                -0.332544               -0.535964                0.497643                0.501453
