Group_Number_idendity         Temp(K)          vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                       217.801464                2.026844               -0.192597                0.498989                0.500835
1                       218.937478                0.231965               0.994663                0.500938                0.500614
2                       220.250520                -1.164594               -0.675261                0.500824                0.501313
